,product_id,meanprice,lowprice,dateE
0,1bc99e75-8448-4c20-b42a-fae1e065b632,15350000,14200000,2021-07-06
1,1bc99e75-8448-4c20-b42a-fae1e065b632,16140000,15400000,2021-08-10
2,1bc99e75-8448-4c20-b42a-fae1e065b632,16700000,16700000,2021-09-03
3,1bc99e75-8448-4c20-b42a-fae1e065b632,16350000,15500000,2021-10-03
4,1bc99e75-8448-4c20-b42a-fae1e065b632,18900000,18800000,2021-11-08
5,1bc99e75-8448-4c20-b42a-fae1e065b632,17733333,17000000,2021-11-26
6,1bc99e75-8448-4c20-b42a-fae1e065b632,17672500,17000000,2021-12-22
7,1bc99e75-8448-4c20-b42a-fae1e065b632,18107800,16000000,2022-01-08
8,1bc99e75-8448-4c20-b42a-fae1e065b632,19600000,15700000,2022-01-20
9,1bc99e75-8448-4c20-b42a-fae1e065b632,16622500,15690000,2022-02-04
10,1bc99e75-8448-4c20-b42a-fae1e065b632,18525000,15400000,2022-02-19
11,1bc99e75-8448-4c20-b42a-fae1e065b632,16949500,16499000,2022-03-10
12,1bc99e75-8448-4c20-b42a-fae1e065b632,15321428,13650000,2022-04-26
13,1bc99e75-8448-4c20-b42a-fae1e065b632,15686666,13050000,2022-05-10
14,1bc99e75-8448-4c20-b42a-fae1e065b632,15827777,13400000,2022-05-19
15,1bc99e75-8448-4c20-b42a-fae1e065b632,15670000,13500000,2022-05-29
16,1bc99e75-8448-4c20-b42a-fae1e065b632,16075000,14000000,2022-06-10
17,1bc99e75-8448-4c20-b42a-fae1e065b632,16387500,13500000,2022-06-21
18,1bc99e75-8448-4c20-b42a-fae1e065b632,16110000,13700000,2022-07-06
19,1bc99e75-8448-4c20-b42a-fae1e065b632,15937500,14500000,2022-07-26
20,1bc99e75-8448-4c20-b42a-fae1e065b632,16016250,14900000,2022-08-07
21,1bc99e75-8448-4c20-b42a-fae1e065b632,15558333,13100000,2022-08-29
22,1bc99e75-8448-4c20-b42a-fae1e065b632,16250000,15800000,2022-09-11
23,1bc99e75-8448-4c20-b42a-fae1e065b632,15730000,12970000,2022-09-25
24,1bc99e75-8448-4c20-b42a-fae1e065b632,15962500,13900000,2022-10-09
25,1bc99e75-8448-4c20-b42a-fae1e065b632,16328571,13650000,2022-10-21
26,1bc99e75-8448-4c20-b42a-fae1e065b632,16305000,13500000,2022-10-31
27,1bc99e75-8448-4c20-b42a-fae1e065b632,16311428,13600000,2022-11-09
28,1bc99e75-8448-4c20-b42a-fae1e065b632,16171250,14900000,2022-11-22
29,1bc99e75-8448-4c20-b42a-fae1e065b632,15663333,12900000,2022-12-04
30,1bc99e75-8448-4c20-b42a-fae1e065b632,15888571,14050000,2022-12-17
31,1bc99e75-8448-4c20-b42a-fae1e065b632,16578888,14600000,2022-12-27
32,1bc99e75-8448-4c20-b42a-fae1e065b632,16847500,15505000,2023-01-08
33,1bc99e75-8448-4c20-b42a-fae1e065b632,17099000,15900000,2023-01-18
34,1bc99e75-8448-4c20-b42a-fae1e065b632,16545000,16490000,2023-01-29
35,1bc99e75-8448-4c20-b42a-fae1e065b632,18216500,18100000,2023-02-12
36,1bc99e75-8448-4c20-b42a-fae1e065b632,22155000,20710000,2023-02-23
37,1bc99e75-8448-4c20-b42a-fae1e065b632,21750000,19900000,2023-03-07
38,1bc99e75-8448-4c20-b42a-fae1e065b632,22173600,19400000,2023-04-05
39,1bc99e75-8448-4c20-b42a-fae1e065b632,22750800,19000000,2023-04-16
40,1bc99e75-8448-4c20-b42a-fae1e065b632,24567250,23638000,2023-04-27
41,1bc99e75-8448-4c20-b42a-fae1e065b632,23175000,18900000,2023-05-19
42,1bc99e75-8448-4c20-b42a-fae1e065b632,25145000,23390000,2023-06-10
43,1bc99e75-8448-4c20-b42a-fae1e065b632,22978000,21100000,2023-06-26
44,1bc99e75-8448-4c20-b42a-fae1e065b632,21691625,19790000,2023-07-11
45,1bc99e75-8448-4c20-b42a-fae1e065b632,20948700,19490000,2023-07-22
46,1bc99e75-8448-4c20-b42a-fae1e065b632,20592454,18840000,2023-08-01
47,1bc99e75-8448-4c20-b42a-fae1e065b632,20052636,18845000,2023-08-12
48,1bc99e75-8448-4c20-b42a-fae1e065b632,19438454,18950000,2023-08-21
49,1bc99e75-8448-4c20-b42a-fae1e065b632,19169083,18190000,2023-08-31
50,1bc99e75-8448-4c20-b42a-fae1e065b632,19017000,17890000,2023-09-10
51,1bc99e75-8448-4c20-b42a-fae1e065b632,18975428,17690000,2023-09-19
52,1bc99e75-8448-4c20-b42a-fae1e065b632,18975800,17090000,2023-09-29
53,1bc99e75-8448-4c20-b42a-fae1e065b632,19970266,18390000,2023-10-09
54,09987667-ab86-4a48-803b-a676727d984c,8600000,8600000,2021-08-13
55,09987667-ab86-4a48-803b-a676727d984c,6400000,1800000,2022-10-08
56,09987667-ab86-4a48-803b-a676727d984c,14652500,11000000,2022-10-18
57,09987667-ab86-4a48-803b-a676727d984c,14902500,11000000,2022-11-02
58,09987667-ab86-4a48-803b-a676727d984c,13835333,10400000,2022-11-13
59,09987667-ab86-4a48-803b-a676727d984c,15653000,11500000,2022-11-23
60,09987667-ab86-4a48-803b-a676727d984c,14102000,10400000,2022-12-05
61,09987667-ab86-4a48-803b-a676727d984c,14635333,10400000,2022-12-18
62,09987667-ab86-4a48-803b-a676727d984c,14835333,10400000,2023-01-01
63,09987667-ab86-4a48-803b-a676727d984c,14735333,10400000,2023-01-06
64,09987667-ab86-4a48-803b-a676727d984c,14929000,10400000,2023-01-13
65,09987667-ab86-4a48-803b-a676727d984c,15315666,10400000,2023-01-18
66,09987667-ab86-4a48-803b-a676727d984c,15589000,10400000,2023-01-23
67,09987667-ab86-4a48-803b-a676727d984c,17653500,10400000,2023-01-31
68,09987667-ab86-4a48-803b-a676727d984c,17129000,10400000,2023-02-07
69,09987667-ab86-4a48-803b-a676727d984c,20763500,16200000,2023-02-13
70,09987667-ab86-4a48-803b-a676727d984c,21424000,16200000,2023-02-18
71,09987667-ab86-4a48-803b-a676727d984c,28374500,23700000,2023-02-28
72,09987667-ab86-4a48-803b-a676727d984c,25864000,23700000,2023-03-06
73,09987667-ab86-4a48-803b-a676727d984c,24953500,23700000,2023-03-12
74,09987667-ab86-4a48-803b-a676727d984c,27128000,27128000,2023-03-17
75,09987667-ab86-4a48-803b-a676727d984c,29708000,29708000,2023-03-25
76,09987667-ab86-4a48-803b-a676727d984c,11500000,11500000,2023-04-01
77,09987667-ab86-4a48-803b-a676727d984c,11500000,11500000,2023-04-25
78,09987667-ab86-4a48-803b-a676727d984c,11500000,11500000,2023-04-30
79,09987667-ab86-4a48-803b-a676727d984c,21084000,11500000,2023-05-06
80,09987667-ab86-4a48-803b-a676727d984c,20984000,11500000,2023-05-11
81,09987667-ab86-4a48-803b-a676727d984c,20639000,11510000,2023-05-16
82,09987667-ab86-4a48-803b-a676727d984c,20719000,11510000,2023-05-21
83,09987667-ab86-4a48-803b-a676727d984c,20599000,11510000,2023-05-26
84,09987667-ab86-4a48-803b-a676727d984c,20444000,11500000,2023-05-31
85,09987667-ab86-4a48-803b-a676727d984c,20374000,11500000,2023-06-05
86,09987667-ab86-4a48-803b-a676727d984c,11500000,11500000,2023-06-16
87,09987667-ab86-4a48-803b-a676727d984c,28928000,28928000,2023-06-24
88,09987667-ab86-4a48-803b-a676727d984c,28328000,28328000,2023-06-29
89,09987667-ab86-4a48-803b-a676727d984c,28968000,28968000,2023-07-05
90,09987667-ab86-4a48-803b-a676727d984c,28648000,28648000,2023-07-10
91,09987667-ab86-4a48-803b-a676727d984c,27847000,27847000,2023-07-16
