,Date,Sales
0,2011-11-27,34160000.0
1,2011-11-28,30600000.0
2,2011-11-29,34320000.0
3,2011-11-30,30800000.0
4,2011-12-01,34500000.0
5,2011-12-02,34170000.0
6,2011-12-03,32930000.0
7,2011-12-04,35550000.0
8,2011-12-05,32880000.0
9,2011-12-06,34510000.0
10,2011-12-07,32620000.0
11,2011-12-08,33530000.0
12,2011-12-09,32720000.0
13,2011-12-10,37380000.0
14,2011-12-11,34400000.0
15,2011-12-12,33010000.0
16,2011-12-13,29630000.0
17,2011-12-14,38210000.0
18,2011-12-15,36820000.0
19,2011-12-16,38890000.0
20,2011-12-17,35480000.0
21,2011-12-18,33860000.0
22,2011-12-19,32620000.0
23,2011-12-20,38930000.0
24,2011-12-21,37860000.0
25,2011-12-22,34810000.0
26,2011-12-23,30890000.0
27,2011-12-24,34290000.0
28,2011-12-25,37960000.0
29,2011-12-26,36920000.0
30,2011-12-27,38070000.0
31,2011-12-28,36110000.0
32,2011-12-29,43920000.0
33,2011-12-30,42380000.0
34,2011-12-31,36700000.0
35,2012-01-01,37570000.0
36,2012-01-02,43840000.0
37,2012-01-03,43060000.0
38,2012-01-04,36320000.0
39,2012-01-05,34970000.0
40,2012-01-06,43870000.0
41,2012-01-07,36060000.0
42,2012-01-08,42340000.0
43,2012-01-09,42480000.0
44,2012-01-10,39300000.0
45,2012-01-11,44940000.0
46,2012-01-12,45640000.0
47,2012-01-13,39790000.0
48,2012-01-14,41610000.0
49,2012-01-15,43270000.0
50,2012-01-16,40290000.0
51,2012-01-17,42680000.0
52,2012-01-18,42930000.0
53,2012-01-19,43730000.0
54,2012-01-20,41820000.0
55,2012-01-21,47940000.0
56,2012-01-22,51240000.0
57,2012-01-23,53030000.0
58,2012-01-24,58240000.0
59,2012-01-25,50510000.0
60,2012-01-26,38320000.0
61,2012-01-27,37140000.0
62,2012-01-28,45130000.0
63,2012-01-29,53440000.0
64,2012-01-30,49800000.0
65,2012-01-31,45500000.0
66,2012-02-01,44500000.0
67,2012-02-02,50140000.0
68,2012-02-03,44300000.0
69,2012-02-04,42540000.0
70,2012-02-05,43480000.0
71,2012-02-06,46050000.0
72,2012-02-07,44400000.0
73,2012-02-08,48760000.0
74,2012-02-09,56390000.0
75,2012-02-10,49910000.0
76,2012-02-11,40700000.0
77,2012-02-12,49680000.0
78,2012-02-13,49450000.0
79,2012-02-14,44540000.0
80,2012-02-15,57980000.0
81,2012-02-16,46950000.0
82,2012-02-17,54000000.0
83,2012-02-18,47720000.0
84,2012-02-19,46630000.0
85,2012-02-20,46350000.0
86,2012-02-21,43420000.0
87,2012-02-22,46920000.0
88,2012-02-23,43850000.0
89,2012-02-24,50690000.0
90,2012-02-25,47010000.0
91,2012-02-26,47970000.0
92,2012-02-27,39840000.0
93,2012-02-28,42500000.0
94,2012-02-29,50110000.0
95,2012-03-01,45870000.0
96,2012-03-02,51350000.0
97,2012-03-03,45140000.0
98,2012-03-04,45990000.0
99,2012-03-05,52650000.0
100,2012-03-06,48600000.0
101,2012-03-07,49040000.0
102,2012-03-08,46630000.0
103,2012-03-09,44200000.0
104,2012-03-10,48660000.0
105,2012-03-11,47540000.0
106,2012-03-12,44510000.0
107,2012-03-13,44410000.0
108,2012-03-14,41940000.0
109,2012-03-15,47930000.0
110,2012-03-16,45530000.0
111,2012-03-17,46570000.0
112,2012-03-18,55130000.0
113,2012-03-19,53940000.0
114,2012-03-20,51760000.0
115,2012-03-21,54470000.0
116,2012-03-22,46700000.0
117,2012-03-23,45560000.0
118,2012-03-24,47940000.0
119,2012-03-25,43750000.0
120,2012-03-26,47120000.0
121,2012-03-27,47330000.0
122,2012-03-28,48370000.0
123,2012-03-29,48970000.0
124,2012-03-30,48830000.0
125,2012-03-31,48390000.0
126,2012-04-01,44200000.0
127,2012-04-02,51470000.0
128,2012-04-03,44710000.0
129,2012-04-04,49000000.0
130,2012-04-05,53640000.0
131,2012-04-06,48870000.0
132,2012-04-07,43820000.0
133,2012-04-08,46970000.0
134,2012-04-09,49800000.0
135,2012-04-10,50010000.0
136,2012-04-11,46140000.0
137,2012-04-12,50570000.0
138,2012-04-13,48060000.0
139,2012-04-14,41710000.0
140,2012-04-15,50360000.0
141,2012-04-16,46200000.0
142,2012-04-17,45730000.0
143,2012-04-18,50240000.0
